name,Manufacturer,Part #,Size,Color,Quantity,Flow Direction,Airflow,Noise Level,PWM,LED,Connector,Controller,Static Pressure
Lian Li Uni Fan SL-Infinity 3-Pack         (55),Lian Li,"UF-SLIN120-3B, 12SLIN3B, G99.12SLIN3B.00",120 mm,Black,3-Pack,Standard,0 - 61.3 CFM,0 - 29 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,5V Addressable RGB,2.66 mmH₂O
Noctua NF-A12x25 PWM chromax.black.swap         (90),Noctua,"NF-A12x25 PWM chromax.black.swap, NF-A12X25 PWM CH.BK.S, NF-A12x25-PWM-CH-BK-S",120 mm,Black,Single,Standard,60.09 CFM,22.6 dB,Yes,None,4-pin PWM,None,2.34 mmH₂O
Lian Li Uni Fan SL-Infinity 3-Pack         (64),Lian Li,"UF-SLIN120-3W, 12SLIN3W, G99.12SLIN3W.00",120 mm,White,3-Pack,Standard,0 - 61.3 CFM,0 - 29 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,5V Addressable RGB,2.66 mmH₂O
Thermalright TL-C12C-S X3 3-Pack         (78),Thermalright,"TL-C12C-S X3 D6, TL-C12C-S X3",120 mm,Black,3-Pack,Standard,66.17 CFM,25.6 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,1.53 mmH₂O
ARCTIC P12 PWM PST         (109),ARCTIC,ACFAN00120A,120 mm,Black,Single,Standard,56.3 CFM,,Yes,None,4-pin PWM,None,2.2 mmH₂O
Corsair RS120 ARGB 3-Pack         (3),Corsair,CO-9050181-WW,120 mm,Black,3-Pack,Standard,13.3 - 72.8 CFM,10 - 36 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,4.15 mmH₂O
Lian Li Uni Fan SL-Infinity         (32),Lian Li,"UF-SLIN120-1B, 12SLIN1B, G99.12SLIN1B.00",120 mm,Black,Single,Standard,0 - 61.3 CFM,0 - 29 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,2.66 mmH₂O
ARCTIC P12 PST 5-Pack         (163),ARCTIC,ACFAN00137A,120 mm,Black,5-Pack,Standard,56.3 CFM,22.5 dB,Yes,None,4-pin PWM,None,2.2 mmH₂O
Thermalright TL-C12C X3 3-Pack         (53),Thermalright,"TL-C12C X3 D6, TL-C12C X3",120 mm,Black,3-Pack,Standard,66.17 CFM,25.6 dB,Yes,None,4-pin PWM,None,1.53 mmH₂O
Lian Li Uni Fan SL-Infinity         (28),Lian Li,"RSLIN120-1W, UF-RSLIN120-1W, G99.12RSLIN1W.00, 12RSLIN1W",120 mm,White,Single,Reverse,63.6 CFM,32 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,2.02 mmH₂O
Lian Li Uni Fan SL-Infinity         (25),Lian Li,"RSLIN120-1B, UF-RSLIN120-1B, G99.12RSLIN1B.00, 12RSLIN1B",120 mm,White / Black,Single,Reverse,63.6 CFM,32 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,2.02 mmH₂O
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack         (12),Corsair,CO-9051002-WW,120 mm,Black,3-Pack,Standard,16.44 - 63.1 CFM,,Yes,Addressable RGB,Proprietary PWM,USB,3.8 mmH₂O
Noctua A12x25 PWM         (118),Noctua,NF-A12x25 PWM,120 mm,Brown,Single,Standard,49.73 - 60.1 CFM,18.8 - 22.6 dB,Yes,None,4-pin PWM,None,2.34 mmH₂O
Corsair RS120 3-Pack         (2),Corsair,CO-9050189-WW,120 mm,Black,3-Pack,Standard,13.3 - 72.8 CFM,10 - 36 dB,Yes,None,4-pin PWM,None,4.15 mmH₂O
Corsair RS120 ARGB 3-Pack         (3),Corsair,CO-9050185-WW,120 mm,White,3-Pack,Standard,13.3 - 72.8 CFM,10 - 36 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,4.15 mmH₂O
Lian Li UNI FAN SL Wireless 120 Reverse Blade 3-Pack         (2),Lian Li,"12RSL1W3B, G99.12RSL1W3B.00",120 mm,Black,3-Pack,Reverse,64 CFM,31 dB,Yes,Addressable RGB,4-pin PWM,USB,2.07 mmH₂O
Lian Li Uni Fan SL-Infinity         (33),Lian Li,"UF-SLIN120-1W, 12SLIN1W, G99.12SLIN1W.00",120 mm,White,Single,Standard,0 - 61.3 CFM,0 - 29 dB,Yes,Addressable RGB,4-pin PWM + 3-pin 5V Addressable RGB,None,2.66 mmH₂O
Noctua A14 PWM chromax.black.swap         (158),Noctua,"NF-A14 PWM chromax.black.swap, NF-A14 PWM CH.BK.S, NF-A14-PWM-CH-BK-S, NF-A14 PWM CHROMAX",140 mm,Multicolor,Single,Standard,82.52 CFM,24.6 dB,Yes,None,4-pin PWM,None,2.08 mmH₂O
