name,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume
Montech XR         (44),Montech,"XR-B, XR (B)",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","420 mm / 16.535""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"435 mm x 230 mm x 450 mm, 17.126"" x 9.055"" x 17.717""","45.023 L, 1.59 ft³"
Phanteks XT PRO         (9),Phanteks,PH-XT523P1-BK01,ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, EATX, Micro ATX, Mini ITX","415 mm / 16.339""","2 x Internal 3.5""",7 x Full-Height,"450 mm x 230 mm x 500 mm, 17.717"" x 9.055"" x 19.685""","51.75 L, 1.828 ft³"
Corsair 4000D Airflow         (372),Corsair,CC-9011200-WW,ATX Mid Tower,Black,None,Tinted Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","360 mm / 14.173""","2 x Internal 3.5"", 2 x Internal 2.5""","7 x Full-Height, 2 x Full-Height via Riser","453 mm x 230 mm x 466 mm, 17.835"" x 9.055"" x 18.346""","48.553 L, 1.715 ft³"
NZXT H9 Flow (2023)         (34),NZXT,CM-H91FB-01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","435 mm / 17.126""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"466 mm x 290 mm x 495 mm, 18.346"" x 11.417"" x 19.488""","66.894 L, 2.362 ft³"
Cooler Master MasterBox Q300L         (181),Cooler Master,MCB-Q300L-KANN-S00,MicroATX Mini Tower,Black,None,Acrylic,No,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX","360 mm / 14.173""","1 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"387 mm x 230 mm x 378 mm, 15.236"" x 9.055"" x 14.882""","33.646 L, 1.188 ft³"
Corsair 3500X ARGB         (8),Corsair,CC-9011279-WW,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","410 mm / 16.142""","2 x Internal 2.5"", 2 x Internal 3.5""",7 x Full-Height,"460 mm x 240 mm x 506 mm, 18.11"" x 9.449"" x 19.921""","55.862 L, 1.973 ft³"
NZXT H5 Flow (2024)         (5),NZXT,CC-H52FB-01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","410 mm / 16.142""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,"430 mm x 225 mm x 465 mm, 16.929"" x 8.858"" x 18.307""","44.989 L, 1.589 ft³"
Corsair 3500X ARGB         (5),Corsair,CC-9011278-WW,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","410 mm / 16.142""","2 x Internal 2.5"", 2 x Internal 3.5""",7 x Full-Height,"460 mm x 240 mm x 506 mm, 18.11"" x 9.449"" x 19.921""","55.862 L, 1.973 ft³"
NZXT H9 Flow (2023)         (47),NZXT,CM-H91FW-01,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","435 mm / 17.126""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"466 mm x 290 mm x 495 mm, 18.346"" x 11.417"" x 19.488""","66.894 L, 2.362 ft³"
Lian Li Lancool 207         (19),Lian Li,"LAN207RX, PC-LAN207RX, LANCOOL 207 BLACK, G99.LAN207RX.00, LANCOOL 207RX",ATX Mid Tower,Blue,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","375 mm / 14.764""","2 x Internal 3.5""",7 x Full-Height,"455.6 mm x 219 mm x 456 mm, 17.937"" x 8.622"" x 17.953""","45.498 L, 1.607 ft³"
HYTE Y70 Touch Infinite         (4),HYTE,"CS-HYTE-Y70TI-WW, CS-HYTE-Y70TTI-WW",ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","390 mm / 15.354""","2 x Internal 3.5""","7 x Half-Height, 4 x Full-Height via Riser","470 mm x 320 mm x 470 mm, 18.504"" x 12.598"" x 18.504""","70.688 L, 2.496 ft³"
