name,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless
Thermalright Peerless Assassin 120 SE         (115),Thermalright,Peerless Assassin 120 SE,"PA120 SE-D3, PA120 SE, PA120 SE D6-CAD, PA120 SE 1700, PA120 SE 1700-d6, 419043",1550 RPM,25.6 dB,Black / Silver,155 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Cooler Master Hyper 212 Black Edition         (194),Cooler Master,Hyper 212 Black Edition,RR-212S-20PK-R1,650 - 2000 RPM,6.5 - 26 dB,Black,159 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Thermalright Phantom Spirit 120 SE ARGB         (61),Thermalright,Phantom Spirit 120 SE ARGB,"PS120SE ARGB, PS120 SE ARGB D6-CAD, Phantom Spirit 120 SE ARGB",1500 RPM,25.6 dB,Black / Silver,154 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
ARCTIC Liquid Freezer III 360 A-RGB         (38),ARCTIC,Liquid Freezer III 360 A-RGB,ACFRE00144A,200 - 2000 RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
ARCTIC Liquid Freezer III 360         (37),ARCTIC,Liquid Freezer III 360,ACFRE00136A,200 - 1800 RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
Thermalright Aqua Elite V3         (17),Thermalright,,"Aqua Elite 360 Black V3, AQUA ELITE 360 V3, Aqua Elite 360 Black Argb V3",1500 RPM,25.6 dB,Black,,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No
Noctua NH-D15 chromax.black         (237),Noctua,NH-D15 chromax.black,"NH-D15 CHROMAX.BLACK, NH-D15 CH.BK, NH-D15-CH-BK",300 - 1500 RPM,19.2 - 24.6 dB,Black,165 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Thermalright Phantom Spirit 120 SE         (67),Thermalright,Phantom Spirit 120 SE,"PS120SE, PS120 SE D6-CAD, PHANTOM-SPIRIT-120-SE",1500 RPM,25.6 dB,Black / Silver,154 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Thermalright Assassin X 120 Refined SE         (45),Thermalright,Assassin X 120 Refined SE,"AX120 SE-D3, AX120 Refined SE",1550 RPM,25.6 dB,Black / Silver,148 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Cooler Master MasterLiquid 360L Core ARGB         (17),Cooler Master,MasterLiquid 360L Core ARGB,MLW-D36M-A18PZ-R1,350 - 1750 RPM,27.2 dB,Black,47 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
NZXT Kraken 360         (12),NZXT,Kraken 360,RL-KN360-B1,500 - 1800 RPM,17.9 - 30.6 dB,Black,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
ARCTIC Liquid Freezer III Pro 360         (1),ARCTIC,Liquid Freezer III Pro 360,ACFRE00180A,600 - 3000 RPM,,Black,68 mm,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
ARCTIC Liquid Freezer III 360 A-RGB         (23),ARCTIC,Liquid Freezer III 360 A-RGB,ACFRE00152A,200 - 2000 RPM,,White,,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
Thermalright Phantom Spirit EVO         (30),Thermalright,,"Phantom Spirit 120 EVO, PS120 EVO",2150 RPM,27 dB,Black,157 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
ARCTIC Liquid Freezer III 240         (25),ARCTIC,Liquid Freezer III 240,ACFRE00134A,200 - 1800 RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes - 240 mm,No
Corsair NAUTILUS 360 RS ARGB         (2),Corsair,NAUTILUS 360 RS ARGB,CW-9060093-WW,2100 RPM,34 dB,Black,,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
NZXT Kraken Elite 360 RGB         (20),NZXT,Kraken Elite 360 RGB,RL-KR36E-B1,500 - 1800 RPM,17.9 - 30.6 dB,Black,60 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
NZXT Kraken Elite 360 RGB         (40),NZXT,Kraken Elite 360 RGB,RL-KR36E-W1,500 - 1800 RPM,17.9 - 30.6 dB,White,60 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
AMD Wraith Prism         (17),AMD,,199-999888,2800 RPM,42 dB,,93 mm,"AM4, AM5",No,No
Asus ROG STRIX LC 360 RGB GUNDAM         (0),Asus,ROG STRIX LC 360 RGB GUNDAM,"90RC0073-M0AAY0, ROG STRIX LC 360 RGB GUNDAM EDITION, 90RC0073-M0UAY0",800 - 2500 RPM,37.6 dB,White,,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No
NZXT Kraken 240         (21),NZXT,Kraken 240,RL-KN240-B1,500 - 1800 RPM,17.9 - 30.6 dB,Black,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 240 mm,No
Thermalright Peerless Assassin 120 SE ARGB         (56),Thermalright,Peerless Assassin 120 SE ARGB,"PA 120 SE ARGB, PA120 SE ARGB 1700, PA120 SE ARGB D6-CAD, 419041",1550 RPM,25.6 dB,Black,155 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
