name,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Thread Count,Performance Core Clock,Performance Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
AMD Ryzen 7 9800X3D         (163),AMD,"100-1000001084WOF, AMD Ryzen 7 9800X3D, 100-100001084WOF",AMD Ryzen 7,Zen 5,Granite Ridge,AM5,8,16,4.7 GHz,5.2 GHz,8 MB,96 MB,120 W,Radeon,192 GB,Yes,No,Boxed,4 nm,No,Yes
AMD Ryzen 7 7800X3D         (499),AMD,100-100000910WOF,AMD Ryzen 7,Zen 4,Raphael,AM5,8,16,4.2 GHz,5 GHz,8 MB,96 MB,120 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 5 7600X         (277),AMD,100-100000593WOF,AMD Ryzen 5,Zen 4,Raphael,AM5,6,12,4.7 GHz,5.3 GHz,6 MB,32 MB,105 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 5 9600X         (25),AMD,100-100001405WOF,AMD Ryzen 5,Zen 5,Granite Ridge,AM5,6,12,3.9 GHz,5.4 GHz,6 MB,32 MB,65 W,Radeon,192 GB,Yes,No,Boxed,4 nm,No,Yes
AMD Ryzen 7 9700X         (46),AMD,100-100001404WOF,AMD Ryzen 7,Zen 5,Granite Ridge,AM5,8,16,3.8 GHz,5.5 GHz,8 MB,32 MB,65 W,Radeon,192 GB,Yes,No,Boxed,4 nm,No,Yes
AMD Ryzen 5 5600X         (687),AMD,100-100000065BOX,AMD Ryzen 5,Zen 3,Vermeer,AM4,6,12,3.7 GHz,4.6 GHz,3 MB,32 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 9 9950X3D         (18),AMD,100-100000719WOF,AMD Ryzen 9,Zen 5,Granite Ridge,AM5,16,32,4.3 GHz,5.7 GHz,16 MB,128 MB,170 W,Radeon,192 GB,Yes,No,Boxed,4 nm,No,Yes
AMD Ryzen 7 7700X         (185),AMD,100-100000591WOF,AMD Ryzen 7,Zen 4,Raphael,AM5,8,16,4.5 GHz,5.4 GHz,8 MB,32 MB,105 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 5 5500         (70),AMD,100-100000457BOX,AMD Ryzen 5,Zen 3,Cezanne,AM4,6,12,3.6 GHz,4.2 GHz,3 MB,16 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 5 7600         (181),AMD,100-100001015BOX,AMD Ryzen 5,Zen 4,Raphael,AM5,6,12,3.8 GHz,5.1 GHz,6 MB,32 MB,65 W,Radeon,128 GB,Yes,Yes,Boxed,5 nm,Yes,Yes
AMD Ryzen 5 5600         (170),AMD,100-100000927BOX,AMD Ryzen 5,Zen 3,Vermeer,AM4,6,12,3.5 GHz,4.4 GHz,3 MB,32 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 7 5800X         (354),AMD,100-100000063WOF,AMD Ryzen 7,Zen 3,Vermeer,AM4,8,16,3.8 GHz,4.7 GHz,4 MB,32 MB,105 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
Intel Core i9-14900K         (36),Intel,BX8071514900K,Intel Core i9,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,24,32,3.2 GHz,6 GHz,32 MB,36 MB,125 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,7 nm,No,Yes: Hyper-Threading
Intel Core i5-12400F         (99),Intel,BX8071512400F,Intel Core i5,Alder Lake,Alder Lake,LGA1700,6,12,2.5 GHz,4.4 GHz,7.5 MB,18 MB,65 W,None,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 7 5700X         (112),AMD,100-100000926WOF,AMD Ryzen 7,Zen 3,Vermeer,AM4,8,16,3.4 GHz,4.6 GHz,4 MB,32 MB,65 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
Intel Core i7-14700K         (41),Intel,BX8071514700K,Intel Core i7,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,20,28,3.4 GHz,5.6 GHz,28 MB,33 MB,125 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,7 nm,No,Yes: Hyper-Threading
AMD Ryzen 5 3600         (1174),AMD,"Ryzen 5 3600, 100-100000031BOX",AMD Ryzen 5,Zen 2,Matisse,AM4,6,12,3.6 GHz,4.2 GHz,3 MB,32 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 9 9900X         (20),AMD,100-100000662WOF,AMD Ryzen 9,Zen 5,Granite Ridge,AM5,12,24,4.4 GHz,5.6 GHz,12 MB,64 MB,120 W,Radeon,192 GB,Yes,No,Boxed,4 nm,No,Yes
