name,Manufacturer,Part #,Type,Interface,Capacity,Price / GB,Color,Cache,RPM,User Rating,Price
Apricorn Aegis Fortress L3,Apricorn,AFL3-S20TB,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",20000 GB,$0.601,Black,8 MB,SSD,,$12022.61
Western Digital My Book Duo,Western Digital,WDBFBE0440JBK-NESN,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",44000 GB,$0.027,Black,,,,$1199.99
Western Digital ELEMENTS,Western Digital,"WDBUZG0010BBK-WESN, WDBUZG0010BBK",Portable,USB Type-A 3.2 Gen 1,1000 GB,$0.058,,,5400 RPM,"(12 Ratings, 4.7 Average)",$57.50
Western Digital WD_BLACK P10,Western Digital,WDBA3A0050BBK-WESN,Portable,USB Type-A 3.2 Gen 1,5000 GB,$0.026,Black,,7200 RPM,"(1 Rating, 5.0 Average)",$129.00
Apricorn Aegis Fortress L3,Apricorn,AFL3-S4TB,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",4000 GB,$0.284,Black,8 MB,SSD,,$1135.25
Apricorn Padlock DT FIPS,Apricorn,ADT-3PL256F-22TB,Desktop,USB Type-A 3.2 Gen 1,22000 GB,$0.049,Black,8 MB,5400 RPM,,$1087.67
Sabrent Rocket XTRM-Q,Sabrent,SB-DXMQ-8X2,Desktop,USB Type-C 3.2 Gen 2,16000 GB,,,,SSD,,
Western Digital My Book Duo,Western Digital,WDBFBE0240JBK-NESN,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",24000 GB,$0.028,Black,,7200 RPM,,$679.99
Samsung T5 EVO Portable,Samsung,"MU-PH8T0S/AM, MU-PH8T0S, MU-PH8T0S/EU",Portable,USB Type-C 3.2 Gen 1,8000 GB,$0.064,Black,,SSD,,$514.00+
Seagate Expansion,Seagate,STKP24000400,Desktop,USB Type-A 3.2 Gen 1,24000 GB,$0.014,Black,,5400 RPM,,$329.96
Samsung T9 Portable,Samsung,"MU-PG4T0B/AM, MU-PG4T0B",Portable,USB Type-C 3.2 Gen 2x2,4000 GB,$0.075,Black,,SSD,,$299.16
Apricorn Padlock DT FIPS,Apricorn,ADT-3PL256F-20TB,Desktop,USB Type-A 3.2 Gen 1,20000 GB,$0.051,Black,8 MB,5400 RPM,,$1015.01
Corsair EX400U,Corsair,CSSD-EX400U4TB,Portable,USB Type-C 4.0 Gen 3x2,4000 GB,$0.080,Black,,SSD,,$309.99
Western Digital ELEMENTS,Western Digital,WDBWLG0080HBK-NESN,Desktop,USB Type-A 3.2 Gen 1,8000 GB,$0.020,Black,,,"(6 Ratings, 4.7 Average)",$161.49
Verbatim Vx460,Verbatim,70381,Portable,USB Type-A 3.2 Gen 1,128 GB,$0.251,Black,,SSD,,$32.14+
Seagate Expansion,Seagate,STEB4000100,Desktop,USB Type-A 3.2 Gen 1,4000 GB,$0.050,,,,"(6 Ratings, 4.7 Average)",$199.00
Western Digital Elements Portable,Western Digital,WDBU6Y0040BBK-WESN,Portable,USB Type-A 3.2 Gen 1,4000 GB,$0.025,Black,,,,$99.99
Western Digital My Passport,Western Digital,WDBPKJ0040BBK-WESN,Portable,USB Type-A 3.2 Gen 1,4000 GB,$0.031,Black,,5400 RPM,"(3 Ratings, 4.7 Average)",$124.95+
Seagate Expansion,Seagate,STKP20000400,Desktop,USB Type-A 3.2 Gen 1,20000 GB,$0.014,Black,,5400 RPM,,$274.99+
Western Digital My Book Duo,Western Digital,WDBFBE0360JBKNESN,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",36000 GB,$0.028,Black,,7200 RPM,,$999.99
Sabrent ROCKET XTRM,Sabrent,SB-XTRM-4TB,Portable,Thunderbolt,4000 GB,,Silver,,SSD,,
