name,Manufacturer,Part #,Style,Mechanical,Layout,Backlit,Tenkeyless,Connection Type,Color,Mouse Included
HP HyperX Alloy Core         (22),HP,"HX-KB5ME2-US, 4P4F5AA#ABA, 4P4F5AA",Gaming,No,English (US),RGB,No,Wired,Black,No
RK Royal Kludge RK61         (4),RK Royal Kludge,093348322,Mini,Yes,English (US),White,Yes,"Wired, Wireless, Bluetooth Wireless",White,No
Redragon K552         (73),Redragon,K552,Gaming,Yes,English (US),Red,Yes,Wired,Black,No
Logitech G19         (13),Logitech,920-000969,Standard,No,,Multicolor,No,Wired,Black,No
Corsair K70 RGB PRO         (11),Corsair,CH-9109410-NA,Gaming,Yes,English (US),RGB,No,Wired,Black,No
Asus ROG Azoth Extreme         (0),Asus,"M702 AZOTH EXTREME/NXSW, 90MP03MA-BKAA01",Gaming,No,English (US),RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,No
Razer Huntsman Mini         (12),Razer,"RZ03-03390300-R3M1, RZ03-03390300",Mini,Yes,English (US),RGB,Yes,Wired,White,No
Logitech K120         (76),Logitech,"920-002478, 920-002479",Standard,No,,None,No,Wired,Black,No
RK Royal Kludge RK61         (4),RK Royal Kludge,338395023,Mini,Yes,English (US),White,Yes,"Wired, Wireless, Bluetooth Wireless",Black,No
Razer Huntsman Mini         (11),Razer,"RZ03-03390200-R3M1, RZ03-03390200",Mini,Yes,English (US),RGB,Yes,Wired,Black,No
Razer Huntsman V3 Pro         (2),Razer,"RZ03-04980200-R3U1, RZ03-04980100-R3M1",Gaming,Yes,English (US),RGB,Yes,Wired,Black,No
SteelSeries Apex 3 TKL RGB         (9),SteelSeries,12167,Gaming,No,English (US),RGB,Yes,Wired,Black,No
Redragon K582 SURARA         (16),Redragon,K582,Gaming,Yes,English (US),RGB,No,Wired,Black,No
Logitech G PRO         (15),Logitech,920-009388,Gaming,Yes,English (US),RGB,Yes,Wired,Black,No
Razer BlackWidow V4 Pro         (2),Razer,"RZ03-04681900-R3U1, RZ03-04680100-R3M1, RZ03-04680100",Gaming,No,English (US),RGB,No,Wired,Black,No
Logitech PRO X         (2),Logitech,920-012143,Gaming,Yes,English (US),RGB,Yes,"Wired, Wired, Wireless, Bluetooth Wireless",White,No
Microsoft WTA-00001         (0),Microsoft,WTA-00001,Ergonomic,No,,None,No,Wireless,Black / Silver,Laser
HP USB Keyboard         (3),HP,QY776AT#ABA,Standard,No,,None,No,Wired,Black,No
Asus ROG Strix Scope II 96         (3),Asus,"90MP037A-BKAA01, X901 STRIX SCOPE II 96 WL/NXSW/CA/PBT",Gaming,Yes,English (US),RGB,No,"Wired, Wireless, Bluetooth Wireless",Black,No
SteelSeries Apex Pro TKL (2023)         (0),SteelSeries,"64865, ss-64865",Gaming,Yes,English (US),RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,No
Corsair K55 RGB PRO         (15),Corsair,CH-9226765-NA,Gaming,No,English (US),Multicolor,No,Wired,Black,No
Corsair K100 RGB         (15),Corsair,"CH-912A01A-NA, CH-912A01A-UK, CH-912A01A-EU, CH-912A01A-DE, CH-912A01A-FR",Gaming,Yes,English (US),RGB,No,Wired,Black,No
Logitech G915 TKL         (18),Logitech,920-009495,Gaming,Yes,English (US),RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,No
SteelSeries Apex Pro         (18),SteelSeries,64626,Gaming,Yes,English (US),RGB,No,Wired,Black,No
Wooting Two HE         (5),Wooting,WK2-ISO-L60-001,Gaming,Yes,English (EU),RGB,No,Wired,Black,No
