name,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader
Corsair Vengeance RGB 32 GB         (63),Corsair,CMH32GX5M2E6000C36,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$2.918,Black,12 ns,36,1.4 V,36-44-44-96,Non-ECC / Unbuffered,Yes
Corsair Vengeance LPX 16 GB         (500),Corsair,CMK16GX4M2B3200C16,DDR4-3200,288-pin DIMM (DDR4),2 x 8GB,$2.374,Black / Yellow,10 ns,16,1.35 V,16-18-18-36,Non-ECC / Unbuffered,Yes
Corsair Vengeance 32 GB         (67),Corsair,CMK32GX5M2B6000C30,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$3.906,Black / Gray,10 ns,30,1.4 V,30-36-36-76,Non-ECC / Unbuffered,Yes
G.Skill Trident Z5 RGB 64 GB         (29),G.Skill,F5-6400J3239G32GX2-TZ5RK,DDR5-6400,288-pin DIMM (DDR5),2 x 32GB,$3.422,Black / Silver,10 ns,32,1.4 V,32-39-39-102,Non-ECC / Unbuffered,Yes
TEAMGROUP T-Create Expert 32 GB         (81),TEAMGROUP,CTCED532G6000HC30DC01,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$2.906,Black,10 ns,30,1.35 V,30-36-36-76,Non-ECC / Unbuffered,Yes
Corsair Vengeance RGB Pro 32 GB         (103),Corsair,CMW32GX4M2Z3600C18,DDR4-3600,288-pin DIMM (DDR4),2 x 16GB,$2.718,Black,10 ns,18,1.35 V,18-22-22-42,Non-ECC / Unbuffered,Yes
Corsair Vengeance LPX 32 GB         (106),Corsair,CMK32GX4M2D3600C18,DDR4-3600,288-pin DIMM (DDR4),2 x 16GB,$2.156,Black / Yellow,10 ns,18,1.35 V,18-22-22-42,Non-ECC / Unbuffered,Yes
TEAMGROUP T-Force Delta RGB 32 GB         (78),TEAMGROUP,FF4D532G6000HC30DC01,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$3.187,White,10 ns,30,1.35 V,30-36-36-76,Non-ECC / Unbuffered,Yes
G.Skill Flare X5 32 GB         (78),G.Skill,F5-6000J3636F16GX2-FX5,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$2.812,Black,12 ns,36,1.35 V,36-36-36-96,Non-ECC / Unbuffered,No
Corsair Vengeance RGB 64 GB         (14),Corsair,CMH64GX5M2B6000C30,DDR5-6000,288-pin DIMM (DDR5),2 x 32GB,$3.281,Black,10 ns,30,1.4 V,30-36-36-76,Non-ECC / Unbuffered,Yes
G.Skill Trident Z5 Neo RGB 32 GB         (111),G.Skill,F5-6000J3038F16GX2-TZ5NR,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$3.593,Black,10 ns,30,1.35 V,30-38-38-96,Non-ECC / Unbuffered,No
G.Skill Ripjaws V 32 GB         (133),G.Skill,F4-3200C16D-32GVK,DDR4-3200,288-pin DIMM (DDR4),2 x 16GB,$1.625,Black,10 ns,16,1.35 V,16-18-18-38,Non-ECC / Unbuffered,Yes
Corsair Vengeance LPX 32 GB         (65),Corsair,CMK32GX4M2E3200C16,DDR4-3200,288-pin DIMM (DDR4),2 x 16GB,$1.625,Black / Yellow,10 ns,16,1.35 V,16-20-20-38,Non-ECC / Unbuffered,Yes
TEAMGROUP T-Force Delta RGB 32 GB         (63),TEAMGROUP,FF3D532G6000HC30DC01,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$3.187,Black,10 ns,30,1.35 V,30-36-36-76,Non-ECC / Unbuffered,Yes
Corsair Vengeance RGB 32 GB         (13),Corsair,CMH32GX5M2E6000C36W,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$2.897,White / Silver,12 ns,36,1.4 V,36-44-44-96,Non-ECC / Unbuffered,Yes
G.Skill Flare X5 32 GB         (78),G.Skill,F5-6000J3038F16GX2-FX5,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$3.125,Black,10 ns,30,1.35 V,30-38-38-96,Non-ECC / Unbuffered,Yes
Crucial Pro Overclocking 32 GB         (17),Crucial,CP2K16G60C36U5B,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$2.718,Black,12 ns,36,1.35 V,36-38-38-80,Non-ECC / Unbuffered,Yes
TEAMGROUP T-Force Vulcan Z 16 GB         (113),TEAMGROUP,TLZGD416G3200HC16CDC01,DDR4-3200,288-pin DIMM (DDR4),2 x 8GB,$1.687,Black,10 ns,16,1.35 V,16-18-18-38,Non-ECC / Unbuffered,Yes
Kingston FURY Beast 32 GB         (11),Kingston,KF560C30BBEK2-32,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$3.593,Black,10 ns,30,1.4 V,,Non-ECC / Unbuffered,Yes
Patriot Viper Venom 32 GB         (1),Patriot,PVV532G600C30K,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$2.593,Black / White,10 ns,30,1.35 V,30-40-40-76,Non-ECC / Unbuffered,Yes
G.Skill Ripjaws V 64 GB         (0),G.Skill,F4-3200C14Q-64GVK,DDR4-3200,288-pin DIMM (DDR4),4 x 16GB,$21.116,Black,8.75 ns,14,1.35 V,,Non-ECC / Unbuffered,Yes
Corsair Dominator Titanium 64 GB         (3),Corsair,CMP64GX5M2X6600C32W,DDR5-6600,288-pin DIMM (DDR5),2 x 32GB,$4.476,White,9.697 ns,32,1.4 V,32-39-39-76,Non-ECC / Unbuffered,Yes
