name,Manufacturer,Part #,Tracking Method,Connection Type,Maximum DPI,Hand Orientation,Color
Logitech G305 LIGHTSPEED         (70),Logitech,"910-005280, 910-005283, 910-005282",Optical,"Wired, Wireless",12000,Right,Black
Logitech G502 Hero         (205),Logitech,"910-005469, 910-005470, 910-005471",Optical,Wired,25600,Right,Black
Razer Basilisk V3         (29),Razer,RZ01-04000100-R3U1,Optical,Wired,26000,Right,Black
Logitech PRO X Superlight 2         (6),Logitech,"910-006628, 910-006631, 910-006632",Optical,"Wired, Wireless",32000,Right,Black
Razer Viper V3 Pro         (3),Razer,"RZ01-05120100-R3U1, RZ01-05120100-R3A1, RZ01-05120100-R3G1",Optical,"Wired, Wireless",35000,Right,Black
Logitech G500s Laser Gaming Mouse         (30),Logitech,910-003602,Laser,Wired,8200,Right,Black / Silver
Logitech G Pro X Superlight         (39),Logitech,910-005878,Optical,Wireless,25400,Right,Black
Logitech G305 LIGHTSPEED         (23),Logitech,"910-005289, 910-005292, 910-005291",Optical,"Wired, Wireless",12000,Right,White
Logitech G502 LIGHTSPEED         (49),Logitech,910-005565,Optical,Wireless,25600,Right,Black
Logitech PRO X Superlight 2         (5),Logitech,"910-006636, 910-006640, 910-006639",Optical,"Wired, Wireless",32000,Right,White
Razer DeathAdder Essential         (3),Razer,"RZ01-03850100-R3U1, RZ01-03850100-R3A1, RZ01-03850100-R3G1, RZ01-03850100-R3M1, RZ01-03850100",Optical,Wired,6400,Right,Black / Green
Asus ROG Harpe Ace Extreme         (0),Asus,"ROG Harpe Ace Extreme, P718 ROG HARPE ACE EXTREME, 90MP03U0-BMUA00",Optical,"Wired, Wireless, Bluetooth Wireless",42000,Right,Black
Logitech G Pro         (60),Logitech,"910-005270, 910-005272, 910-005271",Optical,"Wired, Wireless",25600,Both,Black
Logitech G502 X Plus         (13),Logitech,910-006160,Optical,"Wired, Wired, Wireless",25600,Right,Black
Logitech G Pro X Superlight         (20),Logitech,910-005940,Optical,Wireless,25400,Right,White
Razer Viper V3 Pro         (2),Razer,"RZ01-05120200-R3U1, RZ01-05120200-R3A1, RZ01-05120200-R3G1",Optical,"Wired, Wireless",35000,Right,White
Glorious Model O-         (3),Glorious,GLO-MS-OMW-MW,Optical,"Wired, Wireless",19000,Right,White
FinalMouse Air58 Ninja         (1),FinalMouse,SG_B07KY7FTY6_US,Optical,Wired,3200,Right,Blue
Razer Basilisk V3 Pro         (5),Razer,"RZ01-04620100-R3U1, RZ01-04620100-R3G1, RZ01-04620100-R3A1, RZ01-04620100",Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Razer Viper V3 HyperSpeed         (0),Razer,"RZ01-04910100-R3U1, RZ01-04910100-R3M1, RZ01-04910100-R3G1",Optical,Wireless,30000,Right,Black
Razer Naga V2 Pro         (0),Razer,RZ01-04400100-R3U1,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Verbatim Bravo         (0),Verbatim,98106,Optical,Wired,,Both,Black
SteelSeries Rival 3         (31),SteelSeries,62513,Optical,Wired,8500,Right,Black
Logitech G502 X Plus         (3),Logitech,910-006169,Optical,"Wired, Wired, Wireless",25600,Right,White
Logitech PRO X SUPERLIGHT 2 DEX         (1),Logitech,"910-007328, 910-007357",Optical,"Wired, Wireless",44000,Right,Black
Logitech G203 Lightsync         (31),Logitech,910-005790,Optical,Wired,8000,Right,Black
EVGA X12         (1),EVGA,905-W1-12BK-KR,Optical,Wired,16000,Both,Black
Razer DeathAdder Essential         (5),Razer,"RZ01-03850200-R3U1, RZ01-03850200-R3M1, RZ01-03850200-R3G1, RZ01-03850200-R3A1, RZ01-03850200",Optical,Wired,6400,Right,White
Redragon COBRA M711         (28),Redragon,"COBRA M711, M711",Optical,Wired,10000,Right,Black / Multicolor
Razer Basilisk V3 Pro 35K         (0),Razer,RZ01-05240100-R3U1,Optical,"Wired, Wireless, Bluetooth Wireless",35000,Right,Black
Glorious Model O-         (1),Glorious,GLO-MS-OMW-MB,Optical,"Wired, Wireless",19000,Right,Black
Logitech MX MASTER 3S         (6),Logitech,910-006557,Optical,Wireless,8000,Right,Gray
Logitech B100         (8),Logitech,910-001439,Optical,Wired,800,,Black
Razer DeathAdder V3 Pro         (4),Razer,RZ01-04630100-R3U1,Optical,Wireless,30000,Right,Black
Logitech PRO X SUPERLIGHT 2 DEX         (1),Logitech,"910-007363, 910-007365",Optical,"Wired, Wireless",44000,Right,White
Razer DeathAdder V3         (2),Razer,RZ01-04640100-R3U1,Optical,Wired,30000,Right,Black
Corsair SCIMITAR RGB ELITE         (7),Corsair,CH-9304211-NA,Optical,Wired,18000,Right,Black
Razer Basilisk V3 X Hyperspeed         (2),Razer,RZ01-04870100-R3U1,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,Black
Razer Viper Ultimate         (2),Razer,RZ01-03050400-R3M1,Optical,Wireless,20000,Both,White
Logitech G502 X         (5),Logitech,910-006178,Optical,"Wired, Wired, Wireless",25600,Right,Black
Glorious MODEL O         (43),Glorious,GO-BLACK,Optical,Wired,12000,Right,Black
SteelSeries Aerox 5         (0),SteelSeries,62406,Optical,"Wired, Wired, Wireless, Bluetooth Wireless",18000,Right,Black
