name,Manufacturer,Part #,Screen Size,Resolution,Refresh Rate,Response Time (G2G),Panel Type,Aspect Ratio,Color,Brightness,Pixel Pitch,Widescreen,Curved Screen,Frame Sync,Built-in Speakers,Viewing Angle,Inputs
LG 65EP5G-B         (0),LG,65EP5G-B,"65""",3840 x 2160,120 Hz,0.1 ms,OLED,16:9,Black,770 cd/m²,0.375 mm,Yes,No,None,No,178° H x 178° V,2 x HDMI
KOORUI 24E3         (7),KOORUI,24E3,"24""",1920 x 1080,165 Hz,1 ms,IPS,16:9,Black,250 cd/m²,0.277 mm,Yes,No,FreeSync,No,178° H x 178° V,"1 x HDMI 1.4, 1 x DisplayPort 1.2"
Asus TUF Gaming VG27AQ         (93),Asus,"VG27AQ, 90LM0500-B01370, 90LM0500-B03370","27""",2560 x 1440,165 Hz,1 ms,IPS,16:9,Black,350 cd/m²,0.233 mm,Yes,No,"FreeSync, G-Sync Compatible",Yes,178° H x 178° V,"2 x HDMI, 1 x DisplayPort"
MSI MAG 275QF         (8),MSI,MAG 275QF,"27""",2560 x 1440,180 Hz,0.5 ms,IPS,16:9,Black,300 cd/m²,0.233 mm,Yes,No,FreeSync,No,178° H x 178° V,"2 x HDMI 2.0b, 1 x DisplayPort 1.4"
Asus ROG Swift OLED PG32UCDM         (3),Asus,"PG32UCDM, 90LM09T0-B013B0, 90LM09T0-B01370","31.5""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,Black,1000 cd/m²,0.182 mm,Yes,No,"FreeSync Premium Pro, G-Sync Compatible",No,178° H x 178° V,"1 x DisplayPort 1.4, 2 x HDMI 2.1, 1 x USB Type-C"
LG 24MR400-B         (1),LG,"24MR400-B, 24MR400-B.AEUQ","23.8""",1920 x 1080,100 Hz,5 ms,IPS,16:9,Black,250 cd/m²,0.274 mm,Yes,No,FreeSync,No,178° H x 178° V,"1 x HDMI, 1 x VGA"
MSI G255F         (2),MSI,"G255F, 9S6-3BC01M-002, 9S6-3BC01M-004","24.5""",1920 x 1080,180 Hz,1 ms,IPS,16:9,Black,300 cd/m²,0.282 mm,Yes,No,FreeSync,No,178° H x 178° V,"2 x HDMI 2.0b, 1 x DisplayPort 1.2a"
Asus ROG Swift OLED PG27AQDP         (0),Asus,"90LM0A20-B01AB0, PG27AQDP, 90LM0A20-B01A70, ROG-SWIFT-OLED-PG27AQDP","26.5""",2560 x 1440,480 Hz,0.03 ms,OLED,16:9,Black / Red,1300 cd/m²,0.229 mm,Yes,No,"FreeSync Premium, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 1.4"
AOC C27G2Z         (7),AOC,C27G2Z,"27""",1920 x 1080,240 Hz,,VA,16:9,Silver / Black,250 cd/m²,0.311 mm,Yes,Yes,FreeSync,No,178° H x 178° V,"2 x HDMI 2.0, 1 x DisplayPort 1.2"
Asus TUF Gaming VG27AQA1A         (3),Asus,"TUF Gaming VG27AQA1A, 90LM05Z0-B063B0, VG27AQA1A, 90LM05Z0-B05370","27""",2560 x 1440,170 Hz,,VA,16:9,Black,300 cd/m²,0.233 mm,Yes,No,FreeSync Premium,Yes,178° H x 178° V,"2 x HDMI 2.0, 1 x DisplayPort 1.2"
Asus ProArt Display PA32DC         (1),Asus,"90LM06N0-B01IB0, PA32DC, 90LM06N0-B01I70","31.5""",3840 x 2160,60 Hz,0.1 ms,OLED,16:9,Black,500 cd/m²,0.182 mm,Yes,No,None,Yes,178° H x 178° V,"3 x HDMI 2.0, 1 x DisplayPort 1.4"
Acer Acer Nitro XV272U W2bmiiprx         (4),Acer,UM.HX2AA.201,"27""",2560 x 1440,240 Hz,1 ms,IPS,16:9,Black,,0.233 mm,Yes,No,FreeSync Premium,Yes,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 1.4"
Samsung Odyssey Neo G95NC         (1),Samsung,"LS57CG952NNXZA, LS57CG954NUXEN, LS57CG952NUXEN","57""",7680 x 2160,240 Hz,1 ms,VA,32:9,,1000 cd/m²,0.181 mm,Yes,Yes,FreeSync Premium Pro,No,178° H x 178° V,"3 x HDMI 2.1, 1 x DisplayPort 2.1"
Samsung Odyssey G9 G93SC         (1),Samsung,"LS49CG932SNXZA, LS49CG934SUXXU, LS49CG934SEXXY, LS49CG934SUXEN","49""",5120 x 1440,240 Hz,0.03 ms,QD-OLED,32:9,Silver / Black,250 cd/m²,0.234 mm,Yes,Yes,FreeSync Premium Pro,Yes,178° H x 178° V,"1 x DisplayPort 1.4, 1 x HDMI 2.1, 1 x Micro-HDMI 2.1"
Samsung Odyssey G60SD         (4),Samsung,"LS27DG602SNXZA, LS27DG600SUXEN","27""",2560 x 1440,360 Hz,0.03 ms,QD-OLED,16:9,Silver / Black,250 cd/m²,0.233 mm,Yes,No,FreeSync Premium Pro,No,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 1.4"
Dell Alienware AW3225QF         (10),Dell,"AW3225QF, Aw3225qfsap, DGCGT, 210-BLLV, GAME-AW3225QF, MPJG7","31.6""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,Black / White,1000 cd/m²,0.182 mm,Yes,Yes,G-Sync Compatible,No,178° H x 178° V,"1 x DisplayPort 1.4, 2 x HDMI 2.1"
Asus TUF Gaming VG279QM         (10),Asus,"VG279QM, 90LM05H0-B01370, 90LM05H0-B03370","27""",1920 x 1080,280 Hz,1 ms,IPS,16:9,Black,400 cd/m²,0.311 mm,Yes,No,"FreeSync, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI, 1 x DisplayPort"
