name,Manufacturer,Part #,Socket / CPU,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,Memory Speed,Color,PCIe x16 Slots,PCIe x1 Slots,M.2 Slots,SATA 6.0 Gb/s Ports,Onboard Ethernet,Onboard Video,USB 2.0 Headers,USB 3.2 Gen 1 Headers,USB 3.2 Gen 2 Headers,Supports ECC,Wireless Networking,RAID Support,Uses Back-Connect Connectors
MSI B650 GAMING PLUS WIFI         (50),MSI,"B650 GAMING PLUS WIFI, 7E26-001R, 911-7E26-001",AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400",Black,2,1,"2280/22110 M-key, 2260/2280 M-key",4,1 x 2.5 Gb/s Ports (Realtek 8125BG),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
Asus PRIME B650-PLUS WIFI         (4),Asus,"PRIME B650-PLUS WIFI, 90MB1KP0-M0EAY0",AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600",Black / Silver,2,2,"2242/2260/2280/22110 M-key, 2242/2260/2280/22110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
Asus PRIME B550M-A WIFI II         (30),Asus,"PRIME B550M-A WIFI II, 90MB19X0-M0AAY0, 90MB19X0-M0EAY0",AM4,Micro ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3333, DDR4-3400, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4200, DDR4-4266, DDR4-4333, DDR4-4400, DDR4-4600, DDR4-4800, DDR4-4866",Blue / Silver,1,2,"2242/2260/2280/22110 M-key, 2242/2260/2280 M-key",4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,Wi-Fi 6,Yes,No
MSI MAG B650 TOMAHAWK WIFI         (117),MSI,"MAG B650 TOMAHAWK WIFI, 7D75-001R, B650TOMAHAWKWIFI, 911-7D75-001",AM5,ATX,AMD B650,256 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600",Black,2,1,"2260/2280 M-key, 2260/2280 M-key, 2260/2280 M-key",6,1 x 2.5 Gb/s Ports (Realtek RTL8125B),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
Gigabyte X870E AORUS ELITE WIFI7         (8),Gigabyte,"X870E AORUS ELITE WIFI7, X870E A ELITE WIFI7",AM5,ATX,AMD X870E,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6666, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",Black,3,,"2580/25110 M-key, 2280/22110 M-key, 2280/22110 M-key, 2280/22110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,2,,No,Wi-Fi 7,Yes,No
Gigabyte B650 EAGLE AX         (41),Gigabyte,"B650 EAGLE AX, B650 EAGLE AX 1.0",AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600",Gray / Black,4,,"2580/25110 M-key, 2280/22110 M-key, 2280/22110 M-key",4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,3,1,1,No,Wi-Fi 6E,Yes,No
MSI MAG X870 TOMAHAWK WIFI         (25),MSI,"MAG X870 TOMAHAWK WIFI, 7E51-001R, 911-7E51-07S",AM5,ATX,AMD X870,256 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000, DDR5-8200, DDR5-8400",Black,3,,"2280/22110 M-key, 2260/2280 M-key, 2260/2280 M-key, 2260/2280 M-key",4,1 x 5 Gb/s Ports (Realtek 8126VB),Depends on CPU,2,2,,No,Wi-Fi 7,Yes,No
Gigabyte A520M K V2         (6),Gigabyte,A520M K V2,AM4,Micro ATX,AMD A520,64 GB,DDR4,2,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3400, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400, DDR4-4600, DDR4-4800, DDR4-5100",Brown / Black,1,1,2280 M-key,4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,None,Yes,No
Gigabyte X870 EAGLE WIFI7         (9),Gigabyte,X870 EAGLE WIFI7,AM5,ATX,AMD X870,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6666, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",Black,3,,"2580/25110 M-key, 2580/25110 M-key, 2580/25110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 7,Yes,No
ASRock B650M PG Lightning Wifi         (6),ASRock,"B650M PG Lightning Wifi, 90-MXBMW0-A0UAYZ",AM5,Micro ATX,AMD B650,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200",Silver / Black,2,,"2260/2280 M-key, 2260/2280 M-key, 2260/2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,2,2,1,No,Wi-Fi 6E,Yes,No
