name,Manufacturer,Part #,Form Factor,Interface,Buffer Cache,BD-ROM Speed,DVD-ROM Speed,CD-ROM Speed,BD-R Speed,BD-R Dual-Layer Speed,BD-RE Speed,BD-RE Dual-Layer Speed,DVD+R Speed,DVD+RW Speed,DVD+R Dual-Layer Speed,DVD-R Speed,DVD-RW Speed,DVD-R Dual-Layer Speed,DVD-RAM Speed,CD-R Speed,CD-RW Speed,User Rating,Price
LG WH14NS40,LG,WH14NS40,"5.25""",SATA 1.5 Gb/s,4 MB,12X,16X,48X,14X,12X,2X,2X,16X,8X,8X,16X,6X,8X,5X,48X,24X,"(168 Ratings, 4.5 Average)",$63.98
Lite-On iHAS124-14,Lite-On,iHAS124-14,"5.25""",SATA 3.0 Gb/s,,,16X,48X,,,,,24X,8X,8X,24X,6X,8X,5X,48X,24X,"(108 Ratings, 4.3 Average)",$25.89
Asus BW-16D1HT,Asus,BW-16D1HT,"5.25""",SATA 3.0 Gb/s,,12X,16X,48X,16X,12X,2X,2X,16X,8X,8X,16X,6X,8X,5X,48X,24X,"(34 Ratings, 4.4 Average)",$99.99
Asus DRW-24B1ST/BLK/B/AS,Asus,"DRW-24B1ST/BLK/B/AS, DRW-24B1ST","5.25""",SATA 3.0 Gb/s,2 MB,,16X,48X,,,,,24X,8X,12X,24X,6X,12X,12X,48X,32X,"(937 Ratings, 4.5 Average)",$22.99
LG WH16NS40,LG,WH16NS40,"5.25""",SATA 3.0 Gb/s,4 MB,12X,16X,48X,16X,12X,2X,2X,16X,8X,8X,16X,6X,8X,5X,48X,24X,"(62 Ratings, 4.5 Average)",$89.99
Pioneer BDR-S13UBK,Pioneer,BDR-S13UBK,"5.25""",SATA 6.0 Gb/s,4 MB,12X,16X,48X,16X,14X,2X,2X,,,,,,,,48X,40X,"(1 Rating, 3.0 Average)",
Pioneer BDR-212DBK,Pioneer,BDR-212DBK,"5.25""",SATA 6.0 Gb/s,4 MB,,,,16X,14X,2X,2X,16X,8X,8X,16X,6X,8X,5X,40X,24X,"(1 Rating, 3.0 Average)",$149.94
Asus DRW-24D5MT,Asus,"DRW-24D5MT, 90DD01Y0-B10010, 90DD01Y0-B20010","5.25""",SATA 3.0 Gb/s,,,16X,48X,,,,,16X,13X,12X,16X,8X,12X,5X,48X,40X,"(23 Ratings, 3.9 Average)",
LG GH24NSD5,LG,"GH24NSD5, GH24NSD5.ARAA10B","5.25""",SATA 6.0 Gb/s,,,16X,48X,,,,,24X,8X,12X,8X,6X,12X,12X,48X,24X,"(4 Ratings, 4.0 Average)",$74.14+
Panasonic UJ-265,Panasonic,UJ-265,"5.25"" Slim Slot Load",SATA 6.0 Gb/s,,6X,8X,24X,6X,6X,,,8X,8X,6X,8X,8X,6X,,24X,16X,"(3 Ratings, 4.3 Average)",$122.68
