name,Manufacturer,Part #,Type,Efficiency Rating,Wattage,Length,Modular,Color,Fanless,ATX 4-pin Connectors,EPS 8-pin Connectors,PCIe 16-pin 12VHPWR/12V-2x6 Connectors,PCIe 12-pin Connectors,PCIe 8-pin Connectors,PCIe 6+2-pin Connectors,PCIe 6-pin Connectors,SATA Connectors,AMP/Molex 4-pin Connectors
MSI MAG A750GL PCIE5         (61),MSI,"MAG A750GL PCIE5, 306-7ZP8B11-CE0",ATX,80+ Gold,750 W,140 mm,Full,Black,No,0,2,1,0,0,3,0,8,4
MSI MAG A650BN         (40),MSI,"MAG A650BN, 306-7ZP2B11-CE0",ATX,80+ Bronze,650 W,140 mm,No,Black,No,0,1,0,0,0,2,0,5,2
MSI MAG A850GL PCIE5         (49),MSI,"MAG A850GL PCIE5, 306-7ZP8A11-CE0, 306-7ZP8A15-CE0",ATX,80+ Gold,850 W,140 mm,Full,Black,No,0,2,1,0,0,4,0,8,4
Corsair RM1000e (2023)         (70),Corsair,"CP-9020264-NA, CP-9020264-AU, CP-9020264-UK, CP-9020264-EU",ATX,80+ Gold,1000 W,140 mm,Full,Black,No,0,2,1,0,0,6,0,7,4
Corsair RM850x (2024)         (21),Corsair,"CP-9020270-NA, CP-9020270-EU, CP-9020270-AU, CP-9020270-UK",ATX,,850 W,160 mm,Full,Black,No,0,2,1,0,0,3,0,8,3
Corsair SF1000 (2024)         (20),Corsair,"CP-9020257, CP-9020257-AU, CP-9020257-NA, CP-9020257-EU, CP-9020257-UK",SFX,80+ Platinum,1000 W,100 mm,Full,Black,No,0,2,1,0,0,4,0,8,3
Corsair RM750e (2025)         (3),Corsair,"CP-9020295-NA, CP-9020295-EU, CP-9020295-UK, CP-9020295-AU",ATX,,750 W,140 mm,Full,Black,No,0,2,1,0,0,3,0,6,2
MSI MAG A650GL         (18),MSI,"MAG A650GL, 306-7ZP8C11-CE0",ATX,80+ Gold,650 W,140 mm,Full,Black,No,0,2,0,0,0,4,0,6,4
MSI MAG A550BN         (33),MSI,"MAG A550BN, 306-7ZP2A11-CE0",ATX,80+ Bronze,550 W,140 mm,No,Black,No,0,1,0,0,0,2,0,5,2
Corsair RM750e (2023)         (157),Corsair,"CP-9020262-NA, CP-9020262-UK, CP-9020262-EU, CP-9020262-AU",ATX,80+ Gold,750 W,140 mm,Full,Black,No,0,2,1,0,0,3,0,7,4
Corsair RM1000x (2024)         (17),Corsair,"CP-9020271-NA, CP-9020271-EU, CP-9020271-AU, CP-9020271-UK",ATX,,1000 W,160 mm,Full,Black,No,0,2,1,0,0,4,0,12,6
Corsair RM850         (80),Corsair,"CP-9020232-NA, CP-9020232-UK, CP-9020232-AU",ATX,80+ Gold,850 W,160 mm,Full,White / Black,No,0,3,0,0,0,4,0,14,4
Corsair RM850e (2023)         (102),Corsair,"CP-9020263-NA, CP-9020263-EU, CP-9020263-UK, CP-9020263-AU",ATX,80+ Gold,850 W,140 mm,Full,Black,No,0,2,1,0,0,3,0,7,4
Thermaltake Smart         (79),Thermaltake,PS-SPD-0500NPCWUS-W,ATX,80+,500 W,140 mm,No,,No,0,1,0,0,0,2,0,5,6
Corsair SF750 (2024)         (21),Corsair,"CP-9020284, CP-9020284-UK, CP-9020284-AU, CP-9020284-NA, CP-9020284-EU",SFX,80+ Platinum,750 W,100 mm,Full,Black,No,0,2,1,0,0,2,0,8,3
be quiet! Pure Power 12 M         (28),be quiet!,"BN505, BN716, BN344",ATX,80+ Gold,850 W,160 mm,Full,Black,No,0,2,1,0,0,4,0,6,2
Asus ROG THOR 1600T Gaming         (1),Asus,"90YE00K0-B0NA00, ROG-THOR-1600T-GAMING",ATX,80+ Titanium,1600 W,190 mm,Full,Silver / Black,No,0,2,1,0,0,10,0,12,6
Corsair RM850e (2025)         (4),Corsair,"CP-9020296-NA, CP-9020296-AU, CP-9020296-UK, CP-9020296-EU",ATX,,850 W,140 mm,Full,Black,No,0,2,1,0,0,3,0,6,2
