name,Manufacturer,Model,Part #,Channels,Digital Audio,Signal-To-Noise Ratio,Sample Rate,Chipset,Interface,Color
Creative Labs Sound BlasterX AE-5 Plus         (15),Creative Labs,Sound BlasterX AE-5 Plus,70SB174000003,5.1,32-bit,122 dB,384 kHz,Sound Core3D,PCIe x1,Black
Creative Labs Sound Blaster AE-9         (1),Creative Labs,Sound Blaster AE-9,"70SB178000000, SB1780, AE-9",7.1,32-bit,129 dB,384 kHz,Sound Core3D,PCIe x1,Gray
Creative Labs ZXR         (8),Creative Labs,ZXR,70SB151000000,5.1,24-bit,124 dB,192 kHz,,PCIe x1,
Asus Xonar SE         (3),Asus,,"Xonar SE, 90YA00T0-M0UA00",5.1,24-bit,120 dB,192 kHz,,PCIe x1,Black
Creative Labs Sound Blaster Audigy Rx         (14),Creative Labs,Sound Blaster Audigy Rx,70SB155000001,7.1,24-bit,106 dB,192 kHz,Creative E-MU,PCIe x1,Black
Creative Labs Sound Blaster Z SE         (5),Creative Labs,Sound Blaster Z SE,70SB150000004,5.1,24-bit,116 dB,192 kHz,Sound Core3D,PCIe x1,Red / Black
Creative Labs Sound Blaster AE-7         (4),Creative Labs,Sound Blaster AE-7,"SB1800, AE-7",5.1,32-bit,127 dB,384 kHz,Sound Core3D,PCIe x1,Gray
Creative Labs Sound Blaster Audigy Fx V2         (1),Creative Labs,Sound Blaster Audigy Fx V2,"70SB187000000, SB1870",5.1,24-bit,120 dB,192 kHz,,PCIe x1,Black
EVGA NU         (1),EVGA,NU,712-P1-AN01-KR,5.1,24-bit,123 dB,192 kHz,,PCIe x1,Silver / Black
Asus Essence STX II 7.1         (0),Asus,,"Essence STX II 7.1, XONAR ESSENCE STX II 7.1, 90YA00MN-M0UA00, 90YA00NN-M0UA00",7.1,24-bit,124 dB,192 kHz,ASUS AV100,PCIe x1,
Asus STRIX RAID PRO         (0),Asus,,"STRIX RAID PRO, 90YB00I0-M1UA00, 90YB00I0-M0UA00",7.1,24-bit,116 dB,192 kHz,,PCIe x1,
Asus STRIX RAID DLX         (0),Asus,,"STRIX RAID DLX, 90YB00H0-M0UA00, 90YB00H0-M1UA00",7.1,24-bit,124 dB,192 kHz,,PCIe x1,
Asus Xonar Essence STX         (18),Asus,,"Xonar Essence STX, 90-YAA0C0-0UAN00Z, 90-YAA0C0-0AAN0BZ",7.1,24-bit,124 dB,192 kHz,ASUS AV100,PCIe x1,
Asus Xonar AE         (0),Asus,Xonar AE,"90YA00P0-M0UA00, Xonar AE",7.1,24-bit,110 dB,192 kHz,,PCIe x1,Black / White
Creative Labs Sound Blaster Zx         (24),Creative Labs,Sound Blaster Zx,70SB150600000,5.1,24-bit,116 dB,192 kHz,,PCIe x1,
Creative Labs Sound BlasterX AE-5 Plus Pure         (0),Creative Labs,Sound BlasterX AE-5 Plus Pure,70SB174000004,5.1,32-bit,122 dB,384 kHz,Sound Core3D,PCIe x1,White / Black
Asus STRIX SOAR         (3),Asus,,"STRIX SOAR, 90YB00J0-M1UA00",7.1,24-bit,116 dB,192 kHz,,PCIe x1,
