name,Manufacturer,Model,Part #,Amount,Features,User Rating,Price
Arctic Silver 5 High-Density Polysynthetic Silver         (623),Arctic Silver,5 High-Density Polysynthetic Silver,"AS5-3.5G, AS-AS5-35",3.5 g,"Three unique shapes and sizes of pure silver particles to maximize particle-to-particle contact area and thermal transfer., Contains over 88% thermally conductive filler by weight.These thermally-enhanced ceramic particles improve the compound's performance and long-term stability, Ensure the best physical contact between the heatsink and the CPU core., Will not separate, run, migrate, or bleed., 3.5-gram, Average Particle Size: <0.49 micron <0.000020 inch, Extended Temperature Limits: Peak: -50 Degrees C to >180 Degrees C, Long-Term: -50 Degrees C to 130 Degrees C, Performance: 3 to 12 degrees centigrade lower CPU full load core temperatures than standard thermal compounds or thermal pads when measured with a calibrated thermal diode imbedded in the CPU core., Coverage Area: A 3.5 gram syringe contains enough compound to cover at least 15 to 25 small CPU cores, or 6 to 10 large CPU cores, or 2 to 5 heat plates. At a layer 0.003"" thick, the 3.5 gram syringe will cover approximately 16 square inches.","(623 Ratings, 4.8 Average)",$8.95+
Thermal Grizzly Kryonaut         (273),Thermal Grizzly,Kryonaut,TG-K-001-RS,1 g,,"(273 Ratings, 4.9 Average)",$7.75+
ARCTIC MX-6         (74),ARCTIC,,ACTCP00080A,4 g,,"(74 Ratings, 5.0 Average)",$7.99
Prolimatech PK-Zero         (0),Prolimatech,PK-Zero,"PRO-PKZERO-300G, PK-ZERO (300G)",300 g,"Low Viscosity allows for easy application and better thermal conductivit., Low Dry-out guarantees continued reliable performance long after the compound is applied., No Burn-In Time allows for quick application with immediate results., Non-Electrically Conductive guards against the risk of shorting out valuable components., Non-Corrosive so no risk of damage to delicate electronic surfaces., Material Specification: Al >10(wt%)  ZnO >50(wt%), Adhesiveness: 210000Cps, Thermal Conductivity:  8 W/m - °C, Thermal Impedance: 0.019 °C-in²/W, Specific Gravity:  2.6g/cm³",,$144.61
Thermal Grizzly Kryonaut Extreme         (27),Thermal Grizzly,Kryonaut Extreme,TG-KE-002-R,2 g,"Viscosity: 130-180 Pas, Specific Weight: 3,76g/cm3, Temperature: -250 °C / +350 °C, Thermal Conductivity: 14,2 W/m*K, Electrical Conductivity: 0 pS/m","(27 Ratings, 4.7 Average)",$15.75+
Noctua NT-H2         (56),Noctua,NT-H2,"NT-H2 3.5g, NT-H2-3",3.5 g,,"(56 Ratings, 4.8 Average)",$14.95
ARCTIC MX-4 (2019)         (94),ARCTIC,,ACTCP00002B,4 g,,"(94 Ratings, 4.9 Average)",$6.99
Arctic Silver Ceramique 2 Tri-Linear         (17),Arctic Silver,Ceramique 2 Tri-Linear,"CMQ2-2.7G, ASC-2.7G, 900100646, AS-CMQ2-27",2.7 g,"Tri-Linear Ceramic Content: Like the original Ceramique, Ceramique 2 uses only ceramic fillers so it is neither electrically conductive nor capacitive. The tri-linear composite of aluminum oxide, zinc oxide and boron nitride allows the thinnest possible bond line with modern processors, heatsinks and electronics. Critically-sized particles and new ultra-high shear mixing techniques maximize Ceramique 2's thermal performance and help maintain a stable homogenous suspension. This exclusive combination provides performance exceeding most metal based compounds., Polysynthetic Suspension Fluid: A new oil mixture, improved thermal filler properties and increased particle deagglomeration, dispersal and density enhance Ceramique 2's thermal performance and overall stability. The third generation polysynthetic suspension fluid combines advanced synthetic oils to maximize wetting and stability while allowing a higher density of thermally conductive fillers., Excellent Stability: Ceramique 2 is engineered to not separate, run, migrate, or bleed., Electrical Insulator: Ceramique 2 does not contain any metal or other electrically conductive materials. It is a pure electrical insulator, neither electrically conductive nor capacitive., Performance: 2 to 10 degrees centigrade lower CPU full load core temperatures than standard thermal compounds or thermal pads when measured with a calibrated thermal diode imbedded in the CPU core., Innovative Dispenser: The amount of compound remaining in the 2.7-gram syringe is easy to determine as the rear of the plunger is perfectly flush with the flange when the syringe is empty., Easy Clean Up: Ceramique 2 can easily be cleaned from CPUs and heatsinks with ArctiClean, isopropyl alcohol or any of the cleaners listed in the product instructions., Compliancy:RoHS Compliant., Average Particle Size: <0.36 micron <0.000014 inch (70 particles lined up in a row equal 1/1000th of an inch.), Temperature Limits: Peak: -150 Degrees C to >185 Degrees C, Long-Term: -150 Degrees C to 130 Degrees C, Coverage Area: 2.7-gram syringe. (Approximately 1cc), At a layer 0.003"" thick, one syringe will cover about 22 square inches.","(17 Ratings, 4.7 Average)",$3.85+
Corsair TM30         (38),Corsair,TM30,CT-9010001-WW,3 g,,"(38 Ratings, 4.6 Average)",$7.88
Noctua NT-H1         (148),Noctua,,"NT-H1, NT-H1 3.5g",3.5 g,"Excellent performance: NT-H1 consists of a hybrid compound of different micro-particles, which has been specifically optimized for use in PC environments. Thanks to its extremely low thermal resistance as well as excellent pliability and spreadability, NT-H1 achieves outstanding results., Maximum ease of use & efficient dosage: As NT-H1 spreads very well under pressure, there's no need to smear it over the heat-spreader. This reduces both the consumption of paste and the time spent on the installation process: Put one drop of NT-H1 onto the centre of your CPU, install the cooler and that's it!, Top-performance right from the start: NT-H1 reaches its full performance extremely fast and doesn't require a longer ""burn-in"" time., Excellent long-term stability: NT-H1 doesn't contain any solvents or other substances with low flash point and provides excellent long-term stability. Due to the compound's exceptional curing, bleeding, dry-out und thermal cycling characteristics, NT-H1 can be used for several years without any problems., Not electrically conductive, non-corroding: NT-H1 possesses a very low dielectric constant and a high dielectric strength. Therefore, there's no danger of short-circuits even in case of direct contact with components or conducting paths. Fully compatible with all materials commonly employed in PC environments, NT-H1 is suited for use with aluminium and copper coolers., Suitable for compressor cooling: NT-H1 is perfectly suited for use with compressor coolers. Even at the very lowest temperatures, the paste delivers full performance and remains easy to clean off.","(148 Ratings, 4.9 Average)",$8.94
