name,Manufacturer,Part #,Capacity (W),Capacity (VA),Backup/Run Time (Full Load),Backup/Run Time (Half Load),Battery Chemistry,Dataline Protection,Form Factor,Input Voltage,Maximum Battery Recharge Time,Output Voltage,Receptacles,Waveform Type,User Rating,Price
CyberPower CP1500PFCLCD,CyberPower,CP1500PFCLCD,1000 W,1500 VA,1.98 Minutes,10.98 Minutes,Sealed Lead Acid,"RJ-11, RG-6",Tower,110 V AC,8 Hour,120 V AC,10 x NEMA 5-15R,Sine Wave,"(18 Ratings, 4.8 Average)",$239.59
APC SURT20KRMXLT,APC,SURT20KRMXLT,16000 W,20000 VA,4.90 Minutes,15.30 Minutes,Sealed Lead Acid,,Tower/Rack Mountable,220 V AC,2.50 Hour,208 V AC,"2 x NEMA L6-20R, 4 x NEMA L6-30R, 1 x Hard Wire 3-wire (2PH + G)",,,$24100.00
APC Back-UPS 1500,APC,BX1500M,900 W,1500 VA,,,,,,,,,,,"(7 Ratings, 4.1 Average)",$179.99
APC SRT10KXLI,APC,SRT10KXLI,10000 W,10000 VA,3 Minutes,12 Minutes,Sealed Lead Acid,,Tower,,1.50 Hour,230 V AC,,Sine Wave,,
APC SRT10KRMXLI,APC,SRT10KRMXLI,10000 W,10000 VA,3 Minutes,12 Minutes,Sealed Lead Acid,,Rack-mountable,,1.50 Hour,230 V AC,,Sine Wave,,$10300.00
APC Back-UPS Pro 1500S,APC,BR1500MS2,900 W,1500 VA,4 Minutes 7 Seconds,,,,,,,,,Sine Wave,"(4 Ratings, 5.0 Average)",$274.99
CyberPower CP1500AVRLCD,CyberPower,CP1500AVRLCD,900 W,1500 VA,3 Minutes,11 Minutes,Sealed Lead Acid,"RJ-45, Type F Connector, RJ-11",Tower,110 V AC,8 Hour,120 V AC,4 x NEMA 5-15R,Simulated Sine Wave,"(15 Ratings, 5.0 Average)",
CyberPower PR2200LCDSL,CyberPower,PR2200LCDSL,1980 W,2070 VA,3.30 Minutes,10.20 Minutes,Lead Acid,,Tower,120 V AC,8 Hour,120 V AC,"6 x NEMA 5-20R, 1 x NEMA L5-20R",Sine Wave,,$942.95
APC SRT10KRMXLT,APC,SRT10KRMXLT,10000 W,10000 VA,4 Minutes,,,,Rack-mountable,208 V AC,1.50 Hour,208 V AC,"1 x Hard Wire 3-wire (2PH + G), 4 x NEMA L6-20R, 2 x NEMA L6-30R",,,$5154.06+
CyberPower ST425,CyberPower,ST425,260 W,425 VA,,,,,,,,,,,,$59.95
CyberPower CP1500AVRLCD3,CyberPower,CP1500AVRLCD3,900 W,1500 VA,,,,,,,,,,,,$199.95
APC Back-UPS Pro 1500VA,APC,BN1500M2,900 W,1500 VA,,,,,,,,,,,,$182.99
APC SRT10KXLT,APC,SRT10KXLT,10000 W,10000 VA,4 Minutes,,,,Tower,208 V AC,1.50 Hour,208 V AC,"1 x Hard Wire 3-wire (2PH + G), 4 x NEMA L6-20R, 2 x NEMA L6-30R",,,$6024.06+
CyberPower CP1000PFCLCD,CyberPower,CP1000PFCLCD,600 W,1000 VA,3 Minutes,9 Minutes,Sealed Lead Acid,"RG-6, RJ-11, RJ-45",Mini-tower,110 V AC,8 Hour,120 V AC,10 x NEMA 5-15R,Sine Wave,"(6 Ratings, 4.8 Average)",$179.95
CyberPower PR3000LCD,CyberPower,PR3000LCD,2700 W,3000 VA,6 Minutes,16.80 Minutes,Lead Acid,,Tower,110 V AC,8 Hour,120 V AC,"2 x NEMA 5-20R, 8 x NEMA 5-15R",,,$1848.95
CyberPower CP550SLG,CyberPower,CP550SLG,330 W,550 VA,2 Minutes,8 Minutes,Sealed Lead Acid,RJ-11,Desktop,110 V AC,8 Hour,120 V AC,4 x NEMA 5-15R,,"(1 Rating, 4.0 Average)",$77.95
CyberPower EC850LCD,CyberPower,EC850LCD,510 W,850 VA,,,Lead Acid,RJ-11,Desktop,110 V AC,8 Hour,120 V AC,6 x NEMA 5-15R,,"(3 Ratings, 4.0 Average)",$119.95
APC Back-UPS Pro 1500,APC,BR1500G,865 W,1500 VA,3 Minutes,13 Minutes,Lead Acid,,Tower,110 V AC,8 Hour,120 V AC,5 x NEMA 5-15R,,"(7 Ratings, 5.0 Average)",$304.99
CyberPower OR2200PFCRT2U,CyberPower,OR2200PFCRT2U,1320 W,2000 VA,7.80 Minutes,19.80 Minutes,Sealed Lead Acid,"RG-6, RJ-11",Tower/Rack Mountable,110 V AC,8 Hour,120 V AC,8 x NEMA 5-20R,Sine Wave,,$740.95
CyberPower PR3000LCDSL,CyberPower,PR3000LCDSL,2700 W,3000 VA,1.98 Minutes,7.50 Minutes,Lead Acid,,Tower,120 V AC,8 Hour,120 V AC,"6 x NEMA 5-20R, 1 x NEMA L5-30R",Sine Wave,,$1292.95
CyberPower UT850EG,CyberPower,UT850EG,425 W,850 VA,,,,,,,,,,,,
CyberPower PR1500LCD,CyberPower,PR1500LCD,1050 W,1500 VA,7.98 Minutes,24 Minutes,Lead Acid,,Mini-tower,110 V AC,8 Hour,120 V AC,8 x NEMA 5-15R,Sine Wave,"(1 Rating, 4.0 Average)",$700.95
APC Back-UPS Pro 1000S,APC,BR1000MS,600 W,1000 VA,,,,,,,,,,,"(1 Rating, 5.0 Average)",$171.94
CyberPower CST135XLU,CyberPower,CST135XLU,810 W,1350 VA,,,,,,,,,,,,$159.99
APC SUA5000RMI5U,APC,SUA5000RMI5U,4000 W,5000 VA,9.40 Minutes,26.70 Minutes,Valve-regulated Lead Acid (VRLA),,Tower,220 V AC,3 Hour,230 V AC,"8 x IEC 320-C13, 2 x IEC Jumper, 6 x IEC 320-C19",,,$9600.00
PowerWalker Basic VI 2200 STL UK,PowerWalker,"10121089, Basic VI 2200 STL UK",1320 W,2200 VA,,,,,,,,,,,,
Tripp Lite SU10KRT3U,Tripp Lite,SU10KRT3U,7000 W,10000 VA,8 Minutes,20 Minutes,Sealed Lead Acid,,,220 V AC,4 Hour,"240 V AC, 200 V AC, 208 V AC, 220 V AC, 230 V AC",,Sine Wave,,$7499.99+
APC SRT5KXLI,APC,SRT5KXLI,4500 W,5000 VA,4 Minutes,12 Minutes,Sealed Lead Acid,,Tower,,3 Hour,230 V AC,,Sine Wave,,$7200.00
APC Back-UPS Pro 700VA,APC,BR700G,420 W,700 VA,3 Minutes,12 Minutes,,,Tower,110 V AC,,120 V AC,3 x NEMA 5-15R,,"(2 Ratings, 5.0 Average)",$164.99
CyberPower AVRG750U,CyberPower,AVRG750U,450 W,750 VA,7 Minutes,2 Minutes,Sealed Lead Acid,RJ-11,Desktop,120 V AC,8 Hour,120 V AC,12 x NEMA 5-15R,Simulated Sine Wave,"(2 Ratings, 4.5 Average)",$119.95
APC Back-UPS Pro 1500VA for Gaming,APC,BGM1500,900 W,1500 VA,,,,,,,,,,,,
