name,Manufacturer,Model,Part #,Resolution,Connection,Focus Type,Operating System,FOV Angle,Sensor Pixels,Privacy Shutter,Built-In Lighting,Automatic Lighting Adjust
Razer Kiyo Pro Ultra         (1),Razer,Kiyo Pro Ultra,"RZ19-04420100-R3U1, RZ19-04420100-R3M1","4k, 2k, 1080p, 720p",USB 3.2 Gen 1 Type-A,Auto,Windows,82°,8.3 MP,Yes,No,Yes
Logitech BRIO Ultra HD Pro         (30),Logitech,BRIO Ultra HD Pro,960-001105,"4k, 1080p, 720p",USB 3.2 Gen 1 Type-A,Auto,"Windows, OS X, ChromeOS",82°,,Yes,No,Yes
Elgato Facecam Pro         (0),Elgato,Facecam Pro,10WAB9901,"4k, 1080p, 720p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",90°,,No,No,Yes
Anker PowerConf C200         (5),Anker,PowerConf C200,"A3369, A3369011","2k, 1080p, 720p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",95°,5 MP,Yes,No,
Insta360 Insta360 Link         (1),Insta360,Insta360 Link,CINSTBJ/A,"4k, 1080p, 720p",USB 2.0 Type-C,Auto,"Windows, OS X",79.5°,,No,No,Yes
Logitech C920s HD Pro         (17),Logitech,C920s HD Pro,960-001257,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS, Android",78°,,Yes,No,Yes
OBSBOT Tiny 2         (0),OBSBOT,Tiny 2,OWB-2204-CE,"4k, 2k, 1080p, 720p, 480p",USB 3.2 Gen 1 Type-A,Auto,"Windows, OS X",85.5°,50 MP,No,No,
Logitech C270         (26),Logitech,C270,960-000694,720p,USB 2.0 Type-A,Fixed,"Windows, OS X, ChromeOS, Android",60°,,No,No,Yes
Logitech C920 HD Pro         (34),Logitech,C920 HD Pro,960-000764,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS, Android",78°,,No,No,Yes
Razer Kiyo         (22),Razer,Kiyo,"RZ19-02320100-R3U1, RZ19-02320100","1080p, 720p, 480p",USB 2.0 Type-A,Auto,Windows,81.6°,4 MP,No,Yes,Yes
Insta360 Link 2         (0),Insta360,,CINSABNB-ST,"4k, 1080p, 720p",USB 2.0 Type-C,Auto,"Windows, OS X",79.5°,48 MP,Yes,No,Yes
Razer Kiyo X         (1),Razer,Kiyo X,"RZ19-04170100-R3U1, RZ19-04170100-R3M1, RZ19-04170100","1080p, 720p",USB 2.0 Type-A,Auto,Windows,82°,2.1 MP,No,No,
Logitech MX BRIO         (0),Logitech,,960-001558,"4k, 1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows, ChromeOS",90°,8.5 MP,Yes,No,Yes
Adesso Cybertrack H2         (0),Adesso,,Cybertrack H2,480p,USB 2.0 Type-A,Fixed,"Windows, OS X",62°,,No,No,
Logitech C922 Pro Stream HD         (21),Logitech,C922 Pro Stream HD,960-001087,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS, Android",78°,,No,No,Yes
Green Extreme T200         (2),Green Extreme,T200,GX-T200,"1080p, 720p, 480p",USB 2.0 Type-A,Auto,"Windows, OS X, Android",65°,,No,No,Yes
Elgato FACECAM MK.2         (1),Elgato,FACECAM MK.2,10WAC9901,"1080p, 720p",USB 3.2 Gen 1 Type-C,Fixed,"Windows, OS X",84°,,Yes,No,Yes
Logitech MX BRIO         (0),Logitech,,"960-001550, 960-001559","4k, 1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows, ChromeOS",90°,8.5 MP,Yes,No,Yes
Adesso Cybertrack H6         (0),Adesso,,Cybertrack H6,4k,USB 2.0 Type-A,Fixed,"Windows, OS X",80°,,Yes,No,
Razer Kiyo Pro         (8),Razer,Kiyo Pro,"RZ19-03640100-R3U1, RZ19-03640100-R3M1, RZ19-03640100","1080p, 720p, 480p",USB 3.2 Gen 1 Type-A,Auto,Windows,103°,2.1 MP,No,No,Yes
Adesso Cybertrack H4         (3),Adesso,,Cybertrack H4,1080p,USB 2.0 Type-A,Manual,"Windows, OS X",78°,,No,No,
Anker AnkerWork C310         (0),Anker,AnkerWork C310,A3367,"4k, 1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",95°,12 MP,Yes,No,Yes
