name,Manufacturer,Part #,Interface,Features
TP-Link TG-3468         (17),TP-Link,TG-3468,PCIe x1,"Auto-Negotiation and Auto MDI/MDIX, Supports power down/link down power saving, DOS/Win98SE/Me/2000/XP/Vista/Linux/Novell Netware"
StarTech ST10GPEXNDPI         (0),StarTech,ST10GPEXNDPI,PCIe x4,
Asus XG-C100C         (7),Asus,"XG-C100C, 90IG0440-MO0R00, 90IG0760-MO0B00",PCIe x4,
Intel X540-T2         (2),Intel,"X540T2, AXX10GBTWLIOM3",PCIe x8,Product Type:10Gigabit Ethernet Card
StarTech ST1000SPEX42         (0),StarTech,ST1000SPEX42,PCIe x4,Product Type:Gigabit Ethernet Card
TP-Link TX201         (2),TP-Link,TX201,PCIe x1,
TP-Link TX401         (0),TP-Link,TX401,PCIe x4,
Intel X550-T2         (0),Intel,X550-T2,PCIe x4,
Intel X710-T2L         (0),Intel,X710T2L,PCIe x8,
Intel X520-DA1         (1),Intel,E10G41BTDAG1P5,PCIe x8,
Intel EXPI9301CTBLK         (9),Intel,EXPI9301CTBLK,PCIe x1,"High performance and reliability; low power, Delivers increased performance while significantly reducing CPU usage"
TP-Link UE306         (0),TP-Link,UE306,USB Type-A 3.2 Gen 1,
TRENDnet TRENDnet TEG-10GECTX 10 Gigabit PCIe Network Adapter         (0),TRENDnet,TEG-10GECTX,PCIe x4,
Gigabyte GC-AQC107         (1),Gigabyte,GC-AQC107,PCIe x4,
Intel E1G44HTBLK         (0),Intel,E1G44HTBLK,PCIe x4,Processor : Intel 82580
Syba SD-PEX24055         (0),Syba,SD-PEX24055,PCIe x4,
Intel E1G44ET2BLK         (0),Intel,E1G44ET2BLK,PCIe x4,
Syba SD-PEX24066         (0),Syba,SD-PEX24066,PCIe x1,
Intel I226T1         (0),Intel,I226T1,PCIe x1,
Intel E1G44ET2         (0),Intel,E1G44ET2,PCIe x4,
Intel E1G42ETBLK         (2),Intel,E1G42ETBLK,PCIe x4,
StarTech ST10GSPEXNB2         (0),StarTech,ST10GSPEXNB2,PCIe x2,
TRENDnet TEG-25GECTX         (0),TRENDnet,TEG-25GECTX,PCIe x1,
Belkin F5D5000         (0),Belkin,F5D5000,PCI,"Sets up quickly with included Belkin software, Keeps resources available, even in sleep mode, Lets your PC share an Internet-access account, Adds your desktop PC to your home or office network, Installs easily into an available PCI slot, Configures using any web browser"
Asus USB-C2500         (0),Asus,"USB-C2500, 90IG0650-MO0R0T",USB Type-A 3.2 Gen 1,
QNAP QXG2G2TI225         (0),QNAP,QXG2G2TI225,PCIe x2,
StarTech ST10GSPEXNDP2         (0),StarTech,ST10GSPEXNDP2,PCIe x4,
Monoprice 112909         (0),Monoprice,112909,USB Type-C 3.2 Gen 2,
StarTech ST10GSPEXNB         (0),StarTech,ST10GSPEXNB,PCIe x4,
Syba SI-PEX24042         (0),Syba,SI-PEX24042,PCIe x1,
StarTech USB32000SPT         (0),StarTech,USB32000SPT,USB Type-A 3.2 Gen 1,Product Type:Gigabit Ethernet Card
QNAP QXG5G1T111C         (0),QNAP,QXG5G1T111C,PCIe x1,
Intel X520-T2         (0),Intel,X520-T2,PCIe x8,
Intel EXPI9301CT         (2),Intel,EXPI9301CT,PCIe x1,
Intel EXPI9404PTLBLK-1PK         (1),Intel,EXPI9404PTLBLK-1PK,PCIe x4,Product Type:Gigabit Ethernet Card
TP-Link UE300         (0),TP-Link,UE300,USB Type-A 3.2 Gen 1,"Fastest USB 3.0 and Gigabit solution ensure high speed transfer rate, Plug and Play in Windows (XP / Vista / 7 / 8 / 8.1), Mac OS X (10.9 / 10.10), Linux OS. Note: Driver required for Mac OS X (10.5-10.8), Foldable and Portable design ideally suits your Ultrabook"
StarTech ST1000SPEX2L         (0),StarTech,ST1000SPEX2L,PCIe x1,"Chipset ID: Realtek RTL8111E, Card Type: Low Profile (SP bracket incl.), Auto MDIX: Yes, Full Duplex Support: Yes, Supported Protocols: CSMA/CD, OS Compatibility: Windows 8 (32/64bit), 7 (32/64), Vista(32/64), XP(32/64), 2000, Windows Server 2008 R2, 2003(32/64), Mac OS X (Intel based, tested up to 10.8), Linux, A single 10/100/1000Mbps compatible RJ45 Ethernet port, Gigabit detection and Link/Activity LED indicators, Fully Compliant with IEEE 802.3, IEEE 802.3u, IEEE 802.3x and IEEE 802.3ab standards, Supports IEEE 802.1Q VLAN tagging, IEEE 802.1P Layer 2 Priority Encoding and IEEE 802.3x Full Duplex Flow Control, Jumbo frame support, Full and half duplex support, Supports Wake-on-LAN function, Crossover Detection & Auto-Correction (Auto MDI/MDI-X)"
StarTech ST2GPEX         (0),StarTech,ST2GPEX,PCIe x1,
Intel EXPI9404PTLBLK         (0),Intel,EXPI9404PTLBLK,PCIe x4,"Two Intel 82571GB Gigabit Controllers, Low-profile, Load balancing on multiple CPUs, Intel I/OAT, Virtualization, Interrupt moderation, Compatible with x4, x8, and x16 standard and low-profile PCI Express slots, Support for most network operating systems (NOS), Remote management support, Category-5 unshielded twisted pair (UTP), 4-pair cabling, RoHS compliant, lead-free technology, Intel PROSet Utility for Windows, Advanced cable diagnostics, Intel backing"
TP-Link UE300C         (0),TP-Link,UE300C,USB Type-C,
QLogic QLE3242-CU-CK         (0),QLogic,QLE3242-CU-CK,PCIe x8,"Card Height: Low-profile, Form Factor: Internal, Operating systems: Microsoft Windows Server; Red Hat Linux; Novell SLES; VMware ESX/ESXi; Oracle Solaris, OpenSolaris; Citrix XenServer., Throughput: 10Gbps full-duplex line rate per port., Ethernet Frame: 1500 byte or 9600 byte (jumbo frame)., Stateless Offload: IP, TCP, and UDP checksum offloads., Large and giant send offload (LSO, GSO)., Large receive offload (LRO)., Receive side scaling (RSS)., Interrupt coalescing., VMware NetQueue and Microsoft VMQ., Compliance: IEEE: 802.3ae (10Gb Ethernet), 802.1q (VLAN), 802.3ad (Link Aggregation), 802.1p (Priority Encoding), 802.3x (Flow Control), IPv4 (RFQ 791), IPv6 (RFC 2460)."
Gigabyte GC-AQC113C 10G         (0),Gigabyte,GC-AQC113C 10G,PCIe x4,
QNAP QXG-10G1T         (0),QNAP,QXG-10G1T,PCIe x4,
SIIG LB-GE0311-S1         (0),SIIG,LB-GE0311-S1,PCIe x8,
Edimax EU-4208         (0),Edimax,EU-4208,USB Type-A 2.0,"Operating System: Microsoft Windows XP / 2000 / Vista / 7, Mac OS X 10.x, RAM: Embedded 20KB SRAM for RX and 20KB SRAM for TX packet buffering, No external power adapter required, Low power consumption in idle mode and low traffic conditions., The Edimax EU-4208 USB 2.0 Fast Ethernet Adapter is specifically designed to give Fast Ethernet connectivity to your ultrabook, or any computer without an Ethernet port."
StarTech ST1000SPEX2         (0),StarTech,ST1000SPEX2,PCIe x1,Product Type:Gigabit Ethernet Card
Asus PCE-C2500         (0),Asus,PCE-C2500,PCIe x1,
Intel EXPI9402PTG2P20         (0),Intel,EXPI9402PTG2P20,PCIe x4,
Intel E1G44HT         (0),Intel,E1G44HT,PCIe x4,Processor : Intel 82580
Intel E1G42ET         (0),Intel,E1G42ET,PCIe x4,
QNAP QXG-2G1T-I225         (0),QNAP,QXG-2G1T-I225,PCIe x1,
