name,Manufacturer,Part #,Protocol,Interface,Color
Gigabyte GC-WBAX210         (10),Gigabyte,GC-WBAX210,Wi-Fi 6E,PCIe x1,Black / Silver
Asus PCE-AX3000         (11),Asus,"PCE-AX3000, 90IG0610-MO0R10",Wi-Fi 6,PCIe x1,Black
TP-Link Archer TBE550E         (1),TP-Link,"Archer TBE550E, TBE550E",Wi-Fi 7,PCIe x1,Black
TP-Link Archer TX3000E         (32),TP-Link,Archer TX3000E,Wi-Fi 6,PCIe x1,Red / Black
TP-Link ARCHER T2U PLUS         (22),TP-Link,ARCHER T2U PLUS,Wi-Fi 5,USB Type-A 2.0,Black
TP-Link TL-WN881ND         (196),TP-Link,TL-WN881ND,Wi-Fi 4,PCIe x1,
TP-Link ArcherTX20E         (2),TP-Link,ArcherTX20E,Wi-Fi 6,PCIe x1,Black
Intel AX210         (1),Intel,AX210.NGWG.NV,Wi-Fi 6E,M.2 PCIe,Green
Netgear WNA3100M-100ENS         (1),Netgear,WNA3100M-100ENS,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer TX55E         (14),TP-Link,Archer TX55E,Wi-Fi 6,PCIe x1,
Intel 7260HMWDTX1         (0),Intel,7260HMWDTX1.R,Wi-Fi 5,PCIe x1,
MSI HERALD-BE WIFI 7 MAX         (0),MSI,HERALD-BE WIFI 7 MAX,Wi-Fi 7,PCIe x1,Black
TP-Link Archer TX50E         (42),TP-Link,Archer TX50E,Wi-Fi 6,PCIe x1,Black
Asus PCE-AC68         (68),Asus,"PCE-AC68, 90IG00R0-BM0G00",Wi-Fi 5,PCIe x1,
Asus PCE-BE92BT         (0),Asus,PCE-BE92BT,Wi-Fi 7,PCIe x1,Black
TP-Link Archer T3U Plus         (7),TP-Link,Archer T3U Plus,Wi-Fi 5,USB Type-A 3.2 Gen 1,
TP-Link TL-WN725N         (59),TP-Link,TL-WN725N,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer T4E         (38),TP-Link,"AA528899, Archer T4E",Wi-Fi 5,PCIe x1,
Intel Killer AX1675         (0),Intel,AX210.D2WG.NVXC,Wi-Fi 6E,PCIe x1,
Asus PCE-AX1800         (0),Asus,"PCE-AX1800, 90IG07A0-MO0B00",Wi-Fi 6,PCIe x1,Black
EDUP EP-9636GS-BL         (5),EDUP,EP-9636GS-BL,Wi-Fi 6,PCIe x1,Black
Ziyituod ZYT-AX210S         (0),Ziyituod,ZYT-AX210S,Wi-Fi 6E,PCIe x1,Red
EDUP EP-9651         (2),EDUP,"EP-EP9651, EP-9651",Wi-Fi 6E,PCIe x1,Blue / Black
TP-Link Archer TX20U plus         (2),TP-Link,Archer TX20U plus,Wi-Fi 6,USB Type-A 3.2 Gen 1,
TP-Link Archer T2UH         (3),TP-Link,ARCHER T2UH,Wi-Fi 5,USB Type-A 2.0,
TP-Link Archer TXE72E         (3),TP-Link,Archer TXE72E,Wi-Fi 6E,PCIe x1,
Asus PCE-AXE5400         (0),Asus,"PCE-AXE5400, 90IG07I0-ME0B10",Wi-Fi 6E,PCIe x1,Black
Asus PCE-AX58BT         (10),Asus,"PCE-AX58BT, 90IG0610-MO0R00",Wi-Fi 6,PCIe x1,Black
Intel AX200         (17),Intel,AX200.NGWG.DTK,Wi-Fi 6,M.2,
MSI HERALD-BE NCM865 WI-FI 7         (1),MSI,HERALD-BE NCM865 WI-FI 7,Wi-Fi 7,PCIe x1,Black
TP-Link ARCHER T2E         (10),TP-Link,ARCHER T2E,Wi-Fi 5,PCIe x1,
TP-Link TL-WDN4800         (251),TP-Link,TL-WDN4800,Wi-Fi 4,PCIe x1,
StarTech USB150WN1X1         (0),StarTech,USB150WN1X1,Wi-Fi 4,USB Type-A 2.0,
