name,packCount,userRatingCount,userRatingAvg,price,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless
Thermalright Peerless Assassin 120 Se,,117,4.8,34.90,Thermalright,PeerlessAssass120SE,"PA120SE-D3, PA120SE, PA120SED6-CAD, PA120SE1700, PA120SE1700-d6, 419043",1550RPM,25.6dB,Black/Silver,155,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Cooler Master Hyper 212 Black Edition,,194,4.6,29.99,CoolerMaster,Hyper212BlackEdition,RR-212S-20PK-R1,650-2000RPM,6.5-26dB,Black,159,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Thermalright Phantom Spirit 120 Se Argb,,63,4.7,37.90,Thermalright,PhantomSpirit120SEARGB,"PS120SEARGB, PS120SEARGBD6-CAD, PhantomSpirit120SEARGB",1500RPM,25.6dB,Black/Silver,154,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Arctic Liquid Freezer Iii 360 A-Rgb,,40,4.7,,ARCTIC,LiquidFreezerIII360A-RGB,ACFRE00144A,200-2000RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes-360,No
Arctic Liquid Freezer Iii 360,,38,4.8,,ARCTIC,LiquidFreezerIII360,ACFRE00136A,200-1800RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes-360,No
Thermalright Aqua Elite V3,,17,4.6,54.90,Thermalright,,"AquaElite360BlackV3, AQUAELITE360V3, AquaElite360BlackArgbV3",1500RPM,25.6dB,Black,,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes-360,No
Noctua Nh-D15 Chromax.Black,,239,4.8,139.94,Noctua,NH-D15chromax.black,"NH-D15CHROMAX.BLACK, NH-D15CH.BK, NH-D15-CH-BK",300-1500RPM,19.2-24.6dB,Black,165,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Arctic Liquid Freezer Iii Pro 360,,2,5,84.99,ARCTIC,LiquidFreezerIIIPro360,ACFRE00180A,600-3000RPM,,Black,68,"AM4, AM5, LGA1700, LGA1851",Yes-360,No
Thermalright Phantom Spirit 120 Se,,67,4.9,35.90,Thermalright,PhantomSpirit120SE,"PS120SE, PS120SED6-CAD, PHANTOM-SPIRIT-120-SE",1500RPM,25.6dB,Black/Silver,154,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Thermalright Assassin X 120 Refined Se,,45,4.7,17.89,Thermalright,AssassX120RefedSE,"AX120SE-D3, AX120RefedSE",1550RPM,25.6dB,Black/Silver,148,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
