name,packCount,userRatingCount,userRatingAvg,price,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Thread Count,Performance Core Clock,Performance Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
Amd Ryzen 7 9800x3d,,167,4.9,472.02,AMD,"100-1000001084WOF, AMDRyzen79800X3D, 100-100001084WOF",AMDRyzen7,Zen5,GraniteRidge,AM5,8,16,4.7GHz,5.2GHz,8MB,96MB,120W,Radeon,192GB,Yes,No,Boxed,4nm,No,Yes
Amd Ryzen 7 7800x3d,,506,5,384.99,AMD,100-100000910WOF,AMDRyzen7,Zen4,Raphael,AM5,8,16,4.2GHz,5GHz,8MB,96MB,120W,Radeon,128GB,Yes,No,Boxed,5nm,No,Yes
Amd Ryzen 5 7600x,,277,4.8,189.99,AMD,100-100000593WOF,AMDRyzen5,Zen4,Raphael,AM5,6,12,4.7GHz,5.3GHz,6MB,32MB,105W,Radeon,128GB,Yes,No,Boxed,5nm,No,Yes
Amd Ryzen 5 9600x,,25,4.8,207.99,AMD,100-100001405WOF,AMDRyzen5,Zen5,GraniteRidge,AM5,6,12,3.9GHz,5.4GHz,6MB,32MB,65W,Radeon,192GB,Yes,No,Boxed,4nm,No,Yes
Amd Ryzen 7 9700x,,50,4.9,304.70,AMD,100-100001404WOF,AMDRyzen7,Zen5,GraniteRidge,AM5,8,16,3.8GHz,5.5GHz,8MB,32MB,65W,Radeon,192GB,Yes,No,Boxed,4nm,No,Yes
Amd Ryzen 5 5600x,,687,4.9,128.00,AMD,100-100000065BOX,AMDRyzen5,Zen3,Vermeer,AM4,6,12,3.7GHz,4.6GHz,3MB,32MB,65W,None,128GB,No,Yes,Boxed,7nm,Yes,Yes
Amd Ryzen 9 9950x3d,,20,4.9,709.74,AMD,100-100000719WOF,AMDRyzen9,Zen5,GraniteRidge,AM5,16,32,4.3GHz,5.7GHz,16MB,128MB,170W,Radeon,192GB,Yes,No,Boxed,4nm,No,Yes
Amd Ryzen 7 7700x,,187,4.9,272.97,AMD,100-100000591WOF,AMDRyzen7,Zen4,Raphael,AM5,8,16,4.5GHz,5.4GHz,8MB,32MB,105W,Radeon,128GB,Yes,No,Boxed,5nm,No,Yes
Amd Ryzen 5 5500,,71,4.7,74.00,AMD,100-100000457BOX,AMDRyzen5,Zen3,Cezanne,AM4,6,12,3.6GHz,4.2GHz,3MB,16MB,65W,None,128GB,No,Yes,Boxed,7nm,Yes,Yes
Amd Ryzen 5 7600,,183,4.9,196.99,AMD,100-100001015BOX,AMDRyzen5,Zen4,Raphael,AM5,6,12,3.8GHz,5.1GHz,6MB,32MB,65W,Radeon,128GB,Yes,Yes,Boxed,5nm,Yes,Yes
